sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,Year,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
John’s Apple Watch,4.0,,2017-12-27 10:37:04 -0800,2017-12-27 09:50:21 -0800,2017-12-27 10:37:03 -0800,Walking,46.69885600010550,min,2017,,,
John’s Apple Watch,4.2,,2017-12-29 09:51:44 -0800,2017-12-29 08:26:54 -0800,2017-12-29 09:51:42 -0800,Walking,84.79947399993740,min,2017,,,
John’s Apple Watch,4.2,,2017-12-29 17:25:20 -0800,2017-12-29 17:04:59 -0800,2017-12-29 17:25:19 -0800,Other,20.33802643418310,min,2017,,,
John’s Apple Watch,4.2,,2017-12-30 10:12:20 -0800,2017-12-30 08:44:33 -0800,2017-12-30 10:12:19 -0800,Walking,32.61100356678170,min,2017,,,
John’s Apple Watch,4.2,,2017-12-30 16:50:34 -0800,2017-12-30 16:00:45 -0800,2017-12-30 16:50:33 -0800,Walking,49.79877695043880,min,2017,,,
John’s Apple Watch,4.2,,2017-12-31 10:08:04 -0800,2017-12-31 08:58:57 -0800,2017-12-31 10:08:03 -0800,Walking,44.40983571708200,min,2017,,,
John’s Apple Watch,4.2,,2018-01-01 11:09:35 -0800,2018-01-01 10:00:32 -0800,2018-01-01 11:09:34 -0800,Walking,55.90043948292730,min,2018,,,
John’s Apple Watch,4.2,,2018-01-03 08:09:11 -0800,2018-01-03 07:34:21 -0800,2018-01-03 08:09:10 -0800,Walking,34.81828330059850,min,2018,,,
John’s Apple Watch,4.2,,2018-01-05 09:06:47 -0800,2018-01-05 07:33:47 -0800,2018-01-05 09:06:45 -0800,Walking,68.64783223370710,min,2018,,,
John’s Apple Watch,4.2,,2018-01-06 12:24:33 -0800,2018-01-06 09:06:41 -0800,2018-01-06 12:24:31 -0800,Walking,197.8353408654530,min,2018,,,
John’s Apple Watch,4.2,,2018-01-07 10:35:59 -0800,2018-01-07 09:03:04 -0800,2018-01-07 10:35:57 -0800,Walking,92.8934383670489,min,2018,,,
John’s Apple Watch,4.2,,2018-01-10 12:16:49 -0800,2018-01-10 11:30:11 -0800,2018-01-10 12:16:48 -0800,HighIntensityIntervalTraining,46.61812286774320,min,2018,,,
John’s Apple Watch,4.2,,2018-01-13 09:48:15 -0800,2018-01-13 08:21:41 -0800,2018-01-13 09:48:13 -0800,Walking,86.53498899936680,min,2018,,,
John’s Apple Watch,4.2,,2018-01-15 10:00:55 -0800,2018-01-15 09:06:37 -0800,2018-01-15 10:00:53 -0800,Walking,54.28041056791940,min,2018,,,
John’s Apple Watch,4.2,,2018-01-26 22:54:46 -0800,2018-01-26 22:08:49 -0800,2018-01-26 22:54:45 -0800,Walking,45.92904979983970,min,2018,,,
John’s Apple Watch,4.2,,2018-01-27 22:16:55 -0800,2018-01-27 21:44:21 -0800,2018-01-27 22:16:54 -0800,Elliptical,32.55558541615800,min,2018,,,
John’s Apple Watch,4.2.2,,2018-02-03 16:24:26 -0800,2018-02-03 15:21:38 -0800,2018-02-03 16:24:25 -0800,Walking,62.77699991663300,min,2018,,,
John’s Apple Watch,4.2.2,,2018-02-04 11:34:34 -0800,2018-02-04 10:18:51 -0800,2018-02-04 11:34:33 -0800,Walking,75.70272303223610,min,2018,,,
John’s Apple Watch,4.2.2,,2018-02-05 11:18:16 -0800,2018-02-05 11:15:15 -0800,2018-02-05 11:18:15 -0800,Running,3.004367333650590,min,2018,,,
John’s Apple Watch,4.2.2,,2018-02-05 11:59:58 -0800,2018-02-05 11:29:32 -0800,2018-02-05 11:59:58 -0800,HighIntensityIntervalTraining,19.14007558226590,min,2018,,,
